Rank,Ticker,Company,Industry,City,State,Zip,Website,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales),CEO
136,MU,Micron Technology,Semiconductors and Other Electronic Components,Boise,Idaho,83716,www.micron.com,"48,000","$30,758","$66,036","$8,687",28.2,Sanjay Mehrotra
137,V,Visa,Financial Data Services,San Francisco,California,94105,www.visa.com,"26,500","$29,310","$475,307","$14,957",51,Ryan Mcinerney
138,SO,Southern,Utilities: Gas and Electric,Atlanta,Georgia,30308,www.southerncompany.com,"27,562","$29,279","$75,948","$3,524",12,Christopher C. Womack
139,UNFI,United Natural Foods,Wholesalers: Food and Grocery,Providence,Rhose Island,2908,www.unfi.com,"30,300","$28,928","$1,565",$248,0.9,Sandy Douglas
140,PCAR,Paccar,Motor Vehicles & Parts,Bellevue,Washington,98004,www.paccar.com,"31,100","$28,820","$38,251","$3,012",10.4,Preston Feight
141,DUK,Duke Energy,Utilities: Gas and Electric,Charlotte,North Carolina,28202,www.duke-energy.com,"27,859","$28,784","$74,344","$2,550",8.9,Lynn J. Good
142,LLY,Eli Lilly,Pharmaceuticals,Indianapolis,Indiana,46285,www.lilly.com,"39,000","$28,541","$326,351","$6,245",21.9,David A. Ricks
143,HPE,Hewlett Packard Enterprise,"Computers, Office Equipment",Spring,Texas,77389,www.hpe.com,"60,200","$28,496","$20,643",$868,3,Antonio F. Neri
144,DLTR,Dollar Tree,Specialty Retailers: Other,Chesapeake,Virginia,23320,www.dollartree.com,"136,287","$28,332","$31,757","$1,615",5.7,Rick Dreiling
145,LAD,Lithia Motors,"Automotive Retailing, Services",Medford,Oregon,97501,www.lithiadriveway.com,"21,875","$28,188","$6,337","$1,251",4.4,Bryan B. Deboer
146,CMI,Cummins,Industrial Machinery,Columbus,Indiana,47201,www.cummins.com,"73,600","$28,074","$33,811","$2,151",7.7,Jennifer Rumsey
147,PAG,Penske Automotive Group,"Automotive Retailing, Services",Bloomfield Hills,Michigan,48302,www.penskeautomotive.com,"26,816","$27,815","$9,795","$1,380",5,Roger S. Penske
